"ANO_ELEICAO","NUM_TURNO","COD_MUN_IBGE","NOME_MACRO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2004","1","2202604","Nordeste","11","PREFEITO","12","PDT","4978"
"2004","1","2203255","Nordeste","11","PREFEITO","12","PDT","204"
"2004","1","2203701","Nordeste","11","PREFEITO","12","PDT","2614"
"2004","1","2203909","Nordeste","11","PREFEITO","12","PDT","10289"
"2004","1","2204402","Nordeste","11","PREFEITO","12","PDT","462"
"2004","1","2204659","Nordeste","11","PREFEITO","12","PDT","2578"
"2004","1","2205201","Nordeste","11","PREFEITO","12","PDT","4198"
"2004","1","2205508","Nordeste","11","PREFEITO","12","PDT","1547"
"2004","1","2205557","Nordeste","11","PREFEITO","12","PDT","1361"
"2004","1","2205573","Nordeste","11","PREFEITO","12","PDT","1332"
"2004","1","2206951","Nordeste","11","PREFEITO","12","PDT","827"
"2004","1","2207900","Nordeste","11","PREFEITO","12","PDT","11068"
"2004","1","2208601","Nordeste","11","PREFEITO","12","PDT","1251"
"2004","1","2208809","Nordeste","11","PREFEITO","12","PDT","1733"
"2004","1","2208858","Nordeste","11","PREFEITO","12","PDT","490"
"2004","1","2209153","Nordeste","11","PREFEITO","12","PDT","1131"
"2004","1","2209559","Nordeste","11","PREFEITO","12","PDT","766"
"2004","1","2209708","Nordeste","11","PREFEITO","12","PDT","1935"
"2004","1","2209906","Nordeste","11","PREFEITO","12","PDT","1592"
"2004","1","2210409","Nordeste","11","PREFEITO","12","PDT","4690"
"2004","1","2211001","Nordeste","11","PREFEITO","12","PDT","4394"
"2004","1","2211407","Nordeste","11","PREFEITO","12","PDT","367"
"2004","1","2211704","Nordeste","11","PREFEITO","12","PDT","751"
"2004","1","2300705","Nordeste","11","PREFEITO","12","PDT","333"
"2004","1","2300754","Nordeste","11","PREFEITO","12","PDT","9179"
"2004","1","2301802","Nordeste","11","PREFEITO","12","PDT","1366"
"2004","1","2303709","Nordeste","11","PREFEITO","12","PDT","38353"
"2004","1","2304400","Nordeste","11","PREFEITO","12","PDT","38753"
"2004","1","2304509","Nordeste","11","PREFEITO","12","PDT","3635"
"2004","1","2305506","Nordeste","11","PREFEITO","12","PDT","1382"
"2004","1","2305605","Nordeste","11","PREFEITO","12","PDT","1795"
"2004","1","2305704","Nordeste","11","PREFEITO","12","PDT","48"
"2004","1","2307205","Nordeste","11","PREFEITO","12","PDT","1748"
