cve_entIFE,cve_mpioIFE,seccion,pobtot1994,avgpoverty,pobelegiblep,treatment,numerotreated,numerocontrol,one_random,two_random,early_progresa_p,villages,villages2,pri1994,votos_totales1994,pan1994,prd1994,t2000,t1994,pri2000s,pri1994s,pan2000s,pan1994s,prd2000s,prd1994s,rep_total,rep_PAN,rep_PRD,rep_PRI,_Ivillages_2,_Ivillages_3,_Ivillages_4,_Ivillages_5,_Ivillages_6,_Ivillages_7,_Ivillages_8,_Ivillages_9,_Ivillages_10,_Ivillages_11,_Ivillages_12,_Ivillages_13,_Ivillages_14
21,78,684,942,4.333333492279053,0.9819532632827759,0,NA,1,1,0,0.7916666865348816,13,NA,161,271,34,30,0.6795699000358582,0.6326766610145569,0.40215054154396057,0.37587064504623413,0.10752688348293304,0.07937640696763992,0.12473118305206299,0.07003800570964813,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0
21,85,712,1141,4.4285712242126465,0.7607361674308777,1,1,NA,1,0,0.9836065769195557,7,NA,294,465,40,57,0.6641337275505066,0.8136653900146484,0.2750760018825531,0.514446496963501,0.22796352207660675,0.06999272108078003,0.09422492235898972,0.09973962604999542,8,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0
21,85,713,1536,4.900000095367432,1,1,1,NA,1,0,1,12,NA,608,827,95,27,0.9588015079498291,1,0.5892634391784668,0.7460859417915344,0.227215975522995,0.1165759265422821,0.07116104662418365,0.03313210606575012,14,6,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0
21,85,716,4751,4.480000019073486,0.9764260053634644,1,1,NA,1,0,0.44011977314949036,14,NA,355,593,68,77,0.370400995016098,0.27175790071487427,0.20380322635173798,0.16268810629844666,0.05704836547374725,0.031162792816758156,0.07110375910997391,0.0352872796356678,22,7,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1
21,85,720,2070,4.625,1,1,1,NA,1,0,0.790243923664093,8,NA,366,690,69,215,0.623552143573761,0.6695960164070129,0.31660231947898865,0.35517701506614685,0.10907335579395294,0.06695959717035294,0.16795367002487183,0.20864222943782806,15,5,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0
21,88,765,2390,4.866666793823242,1,1,1,NA,1,0,1,14,NA,361,581,12,119,0.6302118897438049,0.5107106566429138,0.3629528284072876,0.31732624769210815,0.03622693195939064,0.010548241436481476,0.19958987832069397,0.10460339486598969,21,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1
21,88,766,1284,5,1,1,1,1,1,0,0.8510638475418091,6,NA,286,365,19,39,0.6497764587402344,0.5873594284057617,0.4470939040184021,0.46023234724998474,0.04470938816666603,0.030574874952435493,0.12667660415172577,0.06275895237922668,14,4,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0
21,88,769,1098,4.599999904632568,0.9444444179534912,1,1,NA,1,0,0.8737863898277283,14,NA,66,144,18,55,0.5491228103637695,0.2872856557369232,0.36315789818763733,0.13167259097099304,0.07192982733249664,0.0359107069671154,0.09473684430122375,0.1097271591424942,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1
21,96,814,2399,4.714285850524902,1,0,NA,1,1,0,0.9652509689331055,9,NA,546,759,74,49,0.7123809456825256,0.6567322611808777,0.4828571379184723,0.4724319279193878,0.10000000149011612,0.06402923166751862,0.09142857044935226,0.04239773750305176,18,6,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0
21,96,815,2440,4.199999809265137,0.591803252696991,0,NA,3,0,0,0.13740457594394684,8,NA,466,715,135,47,0.647292971611023,0.6140077114105225,0.345541387796402,0.400178462266922,0.20382165908813477,0.11593152582645416,0.0541401281952858,0.040361348539590836,26,9,6,9,0,0,0,0,0,0,1,0,0,0,0,0,0
