treat,pctVV,elected,male,occBlue.collar,occEducation,occGovernment,occMedia,occNone,occOther,occPolitician,occWhite.collar,lat,long,ran.prior,incumbent,log.valid.votes,party.prior.pctVV,prior.pctVV,elec.year,match.partyPCB,match.partyPC.do.B,match.partyPDT,match.partyPFL,match.partyPL,match.partyPMDB,match.partyPMN,match.partyPP,match.partyPPS,match.partyPSB,match.partyPSC,match.partyPSDB,match.partyPSDC,match.partyPSL,match.partyPT,match.partyPTB,match.partyPV,uf.rs,uf.sp,yob,eduMore.than.Primary..Less.than.Superior,eduSome.Superior.or.More,log.total.assets,pt_pres_1998,psdb_2000,hdi_2000,income_2000,log.num.apps
0,1.3,0,0,0,0,1,0,0,0,0,0,-3.39,-55.344722222222224,0,0,9.932512231576744,29.305816135084427,0,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1963,0,1,9.90353755128617,0.15193370165745856,0.18946151304922365,0.6349999904632568,56.222999572753906,1.6094379124341003
0,0.94,0,1,0,0,0,0,0,1,0,0,-1.5072222222222222,-51.21611111111111,1,0,11.495972573317566,0.5176876617773943,0.2965918895599655,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1970,1,0,11.350418300109132,0.21711330512458862,0,0.7680000066757202,175.26300048828125,1.6094379124341003
0,0.34,0,0,0,0,0,0,0,0,0,1,-1.1638888888888888,-48.471944444444446,0,0,13.919973270717659,4.418945976063854,0,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,0,1,0,0.2795726185709857,0.12159312738886456,0.8059999942779541,313.927001953125,2.3978952727983707
0,1.49,1,1,1,0,0,0,0,0,0,0,-1.285,-48.32138888888889,1,0,11.157906292342437,2.416693282231449,1.0486532524220165,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,0,0,0.21693404634581104,0.5393143533717238,0.7110000252723694,137.7949981689453,1.0986122886681098
0,1.0486532524220165,0,1,0,0,0,0,0,1,0,0,-1.285,-48.32138888888889,0,0,9.84086719055446,0,0,2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,0,0,0.21693404634581104,0.5393143533717238,0.7110000252723694,137.7949981689453,1.0986122886681098
0,0.7110057769219376,0,1,0,0,0,0,0,1,0,0,-1.3622222222222222,-47.30638888888888,0,0,8.81744592104187,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1950,0,0,0,0.04299385802028282,0,0.6119999885559082,82.3010025024414,0
0,2.9,1,1,0,0,0,0,0,0,0,1,-1.0572222222222223,-46.76583333333333,0,0,11.836435482410048,8.733781835655934,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1957,1,0,11.289794413577894,0.09026823720186482,0,0.6620000004768372,105.27899932861328,1.0986122886681098
0,2.4506951180084062,1,1,0,0,0,0,0,0,0,0,-3.7752777777777777,-49.566111111111105,0,0,9.64633468511917,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1956,0,0,0,0.0870712401055409,0.6501841495021143,0.6650000214576721,132.3179931640625,0.6931471805599453
0,1.5,0,1,0,1,0,0,0,0,0,0,-1.5186111111111111,-48.04472222222222,1,0,10.491218660339424,16.59162098668755,1.399765074393109,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1973,1,0,8.517393171418904,0.13115687577109233,0.46602500822639026,0.6589999794960022,70.53700256347656,0
0,1.399765074393109,0,1,0,0,0,0,0,1,0,0,-1.5186111111111111,-48.04472222222222,0,0,9.231710397712375,5.517330910035051,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1973,1,0,0,0.13115687577109233,0.46602500822639026,0.6589999794960022,70.53700256347656,0
0,4.533024333719583,1,1,0,0,0,0,0,0,0,0,-1.7575,-47.075,1,0,9.979290515951629,6.603252531451365,4.148511813439706,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1963,0,0,0,0.051805148387614956,0,0.6150000095367432,92.98100280761719,1.0986122886681098
0,0.6898015494004033,0,0,1,0,0,0,0,0,0,0,-8.232222222222223,-49.25833333333333,0,0,9.844055968766702,13.360898543569489,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1961,1,0,0,0.10576295759333092,0,0.7179999947547913,152.9810028076172,1.0986122886681098
0,1.21,0,0,0,0,1,0,0,0,0,0,-8.232222222222223,-49.25833333333333,1,0,10.577120564191771,23.156107396795075,0.6898015494004033,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1961,1,0,9.90353755128617,0.10576295759333092,0,0.7179999947547913,152.9810028076172,1.0986122886681098
0,0.97,0,1,0,0,0,0,0,1,0,0,-6.097222222222222,-49.60194444444445,0,0,10.316424675482994,2.278612118073537,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1971,1,0,9.882621359854744,0.10093056549749463,0.2269115871098964,0.6819999814033508,108.15399932861328,0
0,0.71,0,1,0,0,0,0,0,1,0,0,-1.8022222222222222,-49.79972222222222,0,0,9.485696794737327,0,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,0,0,9.392745258631441,0.09058777326875246,0.1911049339819319,0.5960000157356262,64.3239974975586,1.0986122886681098
0,0.37,0,1,0,0,0,0,0,0,0,0,-1.8905555555555555,-55.11611111111111,0,0,9.864486815186396,4.560530679933665,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1962,0,0,8.294299608857235,0.11465471797575119,0.33552775949089314,0.6679999828338623,63.808998107910156,0.6931471805599453
0,1.7277963019096696,0,1,1,0,0,0,0,0,0,0,-4.292777777777777,-47.55444444444444,0,0,9.710812583662682,0,0,2004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,0,0,0,0.10169043845747491,0.3220216606498195,0.6650000214576721,145.7010040283203,0.6931471805599453
0,0.26304624522698344,0,1,0,0,0,0,0,0,0,0,-3.843055555555556,-49.09638888888889,0,0,9.374582815370232,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1953,0,0,0,0.10125303152789006,0.16442158543554575,0.6650000214576721,144.0500030517578,0
0,0.21,0,1,0,0,0,0,0,0,0,0,-1.8525,-49.015,0,0,11.373272516655001,11.839827672423741,0,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,0,12.487488878546145,0.12901473729948945,0.030109209675773144,0.6690000295639038,82.94499969482422,1.791759469228055
0,0.97,0,1,0,0,0,0,0,1,0,0,-1.7211111111111113,-48.915,1,0,11.373272516655001,15.259453013809285,0.5846828480209255,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,0,0,11.652696102959753,0.12901473729948945,0.030109209675773144,0.6690000295639038,82.94499969482422,1.791759469228055
0,0.28,0,1,0,0,1,0,0,0,0,0,-1.903611111111111,-48.98111111111111,1,0,11.373272516655001,11.839827672423741,0.4192791475939531,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,1,0,8.006700845440367,0.12901473729948945,0.030109209675773144,0.6690000295639038,82.94499969482422,1.791759469228055
0,4.61,1,1,0,0,0,0,0,0,0,1,-1.7705555555555554,-47.44138888888889,0,0,10.721459583541503,22.256756756756758,0,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,0,1,9.210440366976517,0.16323267113598622,0.35166134563083834,0.6740000247955322,114.91699981689453,0.6931471805599453
0,1.9766892424003781,0,1,0,0,0,0,0,0,0,0,-2.157222222222222,-56.09583333333334,1,1,9.449199779730396,19.15022150624245,2.527184857027789,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1967,1,0,0,0.13288170922355394,0,0.6299999952316284,55.17499923706055,0
0,0.6801757120589486,0,1,0,1,0,0,0,0,0,0,-1.8044444444444445,-50.71222222222222,0,0,8.86177531100083,2.5265643447461628,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1977,0,1,0,0.04027712541099108,0.23180561953017043,0.5249999761581421,51.494998931884766,0
0,1.12,0,1,0,0,0,0,0,0,0,1,-1.883888888888889,-48.76888888888889,1,0,11.389412293397818,9.254341164453525,1.4994892747701736,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1957,1,0,12.133507329024972,0.15575347048001337,0.3294072282399131,0.6430000066757202,90.7760009765625,1.6094379124341003
1,1.05,0,0,0,0,0,0,1,0,0,0,-2.0097222222222224,-54.07166666666667,1,0,11.401189111230149,11.887084931059803,1.7989720159908624,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1952,0,1,10.596659732783579,0.16869728209934395,0.515261704136219,0.6899999976158142,87.871002197265625,0
0,1.267010793054904,0,0,1,0,0,0,0,0,0,0,-1.9138888888888888,-55.51694444444444,0,0,9.861571209434837,9.288883699205979,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1954,1,0,0,0.20089990527312915,0.1537950441647776,0.6809999942779541,82.50199890136719,0
0,1.39,0,1,0,1,0,0,0,0,0,0,-2.0091666666666668,-49.86694444444444,0,0,10.496593378915847,12.503715446348954,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1959,0,1,10.308985993422082,0.1641874510681132,0.38347314627326196,0.6520000100135803,71.78099822998047,0.6931471805599453
0,4.55,1,0,0,0,0,0,0,1,0,0,-5.739722222222222,-48.316944444444445,0,0,9.406893511016861,31.328954017180394,0,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,0,0,9.61587214452889,0.06913638508730534,0.31390814558058927,0.6520000100135803,106.64399719238281,0
0,1.000311711864887,0,1,0,0,0,0,0,0,0,0,-2.9958333333333336,-47.35277777777778,0,0,10.47132657962855,1.84386193422338,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1974,0,0,0,0.0703829318491463,0.35283072253517506,0.6899999976158142,166.04299926757812,1.0986122886681098
