Game,Subject_ethnicity,Recipient_Pairing,Recipient,Recipient_ethnicity,Amount,Fairness,Subject_Gender,Subject_Age,Subject_Education
188,Bosnjak,Bosnjak Serb,1,Serb,5,1,0,34,1
188,Bosnjak,Bosnjak Serb,2,Bosnjak,5,1,0,34,1
189,Bosnjak,Croat Serb,1,Serb,5,1,1,35,3
189,Bosnjak,Croat Serb,2,Croat,5,1,1,35,3
19,Croat,Croat Serb,1,Croat,5,1,0,35,3
19,Croat,Croat Serb,2,Serb,5,1,0,35,3
190,Bosnjak,Croat Serb,1,Croat,8,1,0,34,3
190,Bosnjak,Croat Serb,2,Serb,2,1,0,34,3
191,Bosnjak,Bosnjak Serb,1,Bosnjak,6,1,0,20,3
191,Bosnjak,Bosnjak Serb,2,Serb,4,1,0,20,3
192,Bosnjak,Bosnjak Serb,1,Serb,5,1,1,20,3
192,Bosnjak,Bosnjak Serb,2,Bosnjak,5,1,1,20,3
193,Bosnjak,Croat Serb,1,Croat,5,0,1,22,3
193,Bosnjak,Croat Serb,2,Serb,5,0,1,22,3
194,Bosnjak,Bosnjak Croat,1,Croat,5,1,1,23,3
194,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,1,23,3
195,Bosnjak,Bosnjak Croat,1,Bosnjak,5,0,0,42,3
195,Bosnjak,Bosnjak Croat,2,Croat,5,0,0,42,3
196,Bosnjak,Bosnjak Croat,1,Croat,1,1,0,52,3
196,Bosnjak,Bosnjak Croat,2,Bosnjak,9,1,0,52,3
197,Bosnjak,Bosnjak Croat,1,Croat,5,1,0,46,3
197,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,0,46,3
198,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,40,2
198,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,40,2
199,Bosnjak,Bosnjak Serb,1,Serb,5,0,1,22,4
199,Bosnjak,Bosnjak Serb,2,Bosnjak,5,0,1,22,4
2,Bosnjak,Bosnjak Croat,1,Croat,3,0,0,26,3
2,Bosnjak,Bosnjak Croat,2,Bosnjak,7,0,0,26,3
20,Bosnjak,Croat Serb,1,Serb,2,1,1,21,3
20,Bosnjak,Croat Serb,2,Croat,8,1,1,21,3
200,Bosnjak,Bosnjak Croat,1,Croat,5,1,1,22,4
200,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,1,22,4
201,Bosnjak,Croat Serb,1,Serb,1,0,0,40,4
201,Bosnjak,Croat Serb,2,Croat,9,0,0,40,4
202,Bosnjak,Croat Serb,1,Croat,1,1,0,20,3
202,Bosnjak,Croat Serb,2,Serb,9,1,0,20,3
203,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,31,4
203,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,31,4
204,Bosnjak,Bosnjak Serb,1,Serb,4,1,0,46,3
