time,treatment,District,Region,city,lnarea,lnpopden,index_infra,index_agric,index_health,index_education,index_comms,index_bus_dev,totalland
0,1,103,1,1,2.327277660369873,5.560306549072266,4,12,0,2.0018510901136324,2,3.0825825855135918,557.5
1,1,103,1,1,1.5260562896728516,6.080331325531006,3,10,1.014497697353363,0.005457956809550524,2,1.0372948795557022,401.5
0,1,103,1,1,1.3532544374465942,5.984333038330078,4,6,0,2.008290317840874,3,2.069616138935089,269.79998779296875
0,1,103,1,1,1.7173950672149658,5.755673885345459,3,47,0.006980315316468477,1.0055842525325716,2,1.0181818176060915,397.0999755859375
0,1,103,1,1,1.5727739334106445,6.172228813171387,3,5,0,0.003244295483455062,3,5.0519480518996716,418.3999938964844
0,1,103,1,1,2.157559394836426,5.609704494476318,4,15.084674008190632,0.04818812757730484,2.0055898227728903,2,2,639.0999755859375
0,1,103,1,1,1.852697730064392,5.511849403381348,3,6.092463582754135,0,2.004266076721251,2,2.199493355350569,413
1,1,103,1,1,2.327277660369873,5.4348931312561035,4,5.255319148302078,0.006077180150896311,2.00526688946411,2,2.0978723410516977,610.20001220703125
0,1,103,1,1,2.1246538162231445,5.507262706756592,3,8.009694619104266,0,2.003781512612477,2,3.1900145411491394,515
1,1,103,1,1,1.5496878623962402,5.82180118560791,4,11.020125785842538,0.04817664623260498,2,2,1.0503144661197439,406.9999694824219
1,1,103,1,1,2.1282317638397217,5.534706115722656,5,11.023496240377426,0,1.0042462847195566,3,3.0629699248820543,511
1,1,103,1,1,2.0014801025390625,5.731327533721924,4,12.050832603126764,0.05483870953321457,1.0091397846117616,2,2.0416301488876343,576
0,1,103,1,1,1.5260562896728516,5.758078575134277,3,7,0,0.0077355834655463696,2,1,393
1,1,103,1,1,1.8562979698181152,5.564879417419434,3,8,0.0015686274273321033,2.078431375324726,2,2.0059844404459,484.3999938964844
0,1,103,1,1,1.7783364057540894,5.627159118652344,1,4,0.014237743802368641,1.0067159165628254,2,2.170212760567665,436.9000244140625
1,1,103,1,1,2.1517622470855713,5.61888313293457,3,15.042194094508886,0.029537875205278397,4.006955693010241,3,4.1780590657144785,487.3999938964844
0,1,103,1,1,1.5496878623962402,5.773482799530029,3,53.072607261128724,0.08990669995546341,2.0042408821173012,2,0.3254125416278839,402.5999755859375
0,1,103,1,1,2.116255521774292,5.579957008361816,3,24,0,1.0010731706861407,2,3.8409090638160706,646.20001220703125
1,1,103,1,1,2.1160144805908203,5.719564437866211,2,7,0.004742483142763376,1.0189699325710535,3,3.3451957404613495,646.20001220703125
0,1,103,1,1,1.686398983001709,5.863736152648926,3,23,0,2.0164674315601587,1,1.2635455131530762,327.29998779296875
0,1,103,1,1,1.8515994548797607,6.401367664337158,5,27.238343311473727,1,2.002279090927914,3,3.0823131054639816,428
1,1,103,1,1,1.686398983001709,5.878357887268066,4,6.699844479560852,0,2.017817109823227,1,2,326.79998779296875
0,1,103,1,1,1.6752257347106934,5.573989391326904,3,21.756929636001587,0,1.0072065237909555,3,2.1883439868688583,327.8999938964844
1,1,103,1,1,2.5014359951019287,5.432361125946045,4,5,5.04235562402755e-4,1.0102864056825638,2,1.2627240158617496,953
1,1,103,1,1,1.9021074771881104,5.550874710083008,3,6,2.8657400980591774e-4,2.0045851841568947,2,0.45391305536031723,473
0,1,103,1,1,2.498973846435547,5.409780979156494,4,6,5.060728872194886e-4,1.003542510094121,2,2.0385887548327446,951.89996337890625
0,1,103,1,1,1.2781522274017334,6.196052551269531,5,5,0,1.001533507136628,2,3.0402951205614954,192
0,1,103,1,1,1.7509374618530273,5.886778831481934,3,12,0,2,2,1.072289153933525,468
0,1,103,1,1,2.080690860748291,5.5878705978393555,4,13,0,2.0054517132230103,2,3.242990657687187,613
0,1,103,1,1,1.8946168422698975,5.415933132171631,3,53.1303475946188,0.11653812974691391,1.002227934775874,2,0.11363636702299118,473.8000183105469
